,title,cast,listed_in,cast_count,rating,release_year
61,The Rainmaker,"Matt Damon, Danny DeVito, Claire Danes, Jon Voight, Mary Kay Place, Dean Stockwell, Teresa Wright, Virginia Madsen, Mickey Rourke, Andrew Shue","Dramas, Thrillers",10.0,PG-13,1997
62,What's Eating Gilbert Grape,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen, Darlene Cates, Laura Harrington, Mary Kate Schellhardt, Kevin Tighe, John C. Reilly, Crispin Glover","Classic Movies, Dramas, Independent Movies",10.0,PG-13,1993
63,World Trade Center,"Nicolas Cage, Michael Peña, Maggie Gyllenhaal, Maria Bello, Stephen Dorff, Jay Hernandez, Michael Shannon, Frank Whaley, Jon Bernthal, Morgan Flynn, Nick Damici, Viola Davis, William Mapother","Action & Adventure, Dramas",13.0,PG-13,2006
64,Young Adult,"Charlize Theron, Patton Oswalt, Patrick Wilson, Elizabeth Reaser, Jill Eikenberry, Mary Beth Hurt, Collette Wolfe, Richard Bekins, Kate Nowlin","Comedies, Dramas, Independent Movies",9.0,R,2011
65,"Yours, Mine and Ours","Dennis Quaid, Rene Russo, Sean Faris, Katija Pevec, Dean Collins, Tyler Patrick Jones, Haley Ramm, Brecken Palmer, Bridger Palmer, Ty Panitz","Children & Family Movies, Comedies",10.0,PG,2005
66,Zodiac,"Mark Ruffalo, Jake Gyllenhaal, Robert Downey Jr., Anthony Edwards, Brian Cox, Elias Koteas, Donal Logue, John Carroll Lynch, Dermot Mulroney, Chloë Sevigny","Cult Movies, Dramas, Thrillers",10.0,R,2007
67,Iliza Shlesinger: Unveiled,Iliza Shlesinger,Stand-Up Comedy,1.0,TV-MA,2019
68,Drive,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Christina Hendricks, Ron Perlman, Oscar Isaac, Albert Brooks, Kaden Leos, Jeff Wolfe, James Biberi","Action & Adventure, Dramas, Independent Movies",10.0,R,2011
69,Iron Sky: The Coming Race,,"Action & Adventure, Comedies, International Movies",,TV-MA,2019
70,Jeff Dunham: All Over the Map,Jeff Dunham,Stand-Up Comedy,1.0,TV-14,2014
71,Suffragette,"Carey Mulligan, Helena Bonham Carter, Brendan Gleeson, Anne-Marie Duff, Ben Whishaw, Romola Garai, Meryl Streep, Finbar Lynch, Natalie Press, Samuel West, Geoff Bell, Amanda Lawrence, Shelley Longworth","Dramas, International Movies",13.0,PG-13,2015
72,The Green Inferno,"Ignacia Allamand, Daryl Sabara, Nicolás Martínez, Lorenza Izzo, Ariel Levy, Magda Apanowicz, Sky Ferreira, Kirby Bliss Blanton, Aaron Burns, Ramón Llao, Richard Burgi","Horror Movies, Independent Movies",11.0,R,2013
73,Earthquake Bird,"Alicia Vikander, Riley Keough, Naoki Kobayashi, Jack Huston, Kiki Sukezane, Yoshiko Sakuma, Ken Yamamura, Kazuhiro Muroyama, Akiko Iwase, Crystal Kay","Dramas, Romantic Movies",10.0,R,2019
74,El sendero de la anaconda,"Wade Davis, Martin von Hildebrand","Documentaries, International Movies",2.0,TV-PG,2019
75,GO! The Unforgettable Party,"Pilar Pascual, José Gimenez Zapiola, Renata Toscano, Santiago Saez, Carmela Barsamian, Paulo Sánchez Lima, Daniel Rosado, Laura Azcurra, Gastón Ricaud, Florencia Benítez, Majo Cardozo","Children & Family Movies, Music & Musicals",11.0,TV-PG,2019
76,Guna 369,"Adithya Menon, Kartikeya Gummakonda, Anagha LK","Action & Adventure, Dramas, International Movies",3.0,TV-MA,2019
77,House Arrest,"Ali Fazal, Shriya Pilgaonkar, Jim Sarbh, Barkha Singh, Badrul Islam, Sunil Kumar","Comedies, Independent Movies, International Movies",6.0,TV-14,2019
78,K-on! the movie,"Aki Toyosaki, Yoko Hikasa, Satomi Sato, Minako Kotobuki, Ayana Taketatsu, Asami Sanada, Madoka Yonezawa, Chika Fujito, Yoriko Nagata",Anime Features,9.0,TV-PG,2011
79,Klaus,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack","Children & Family Movies, Comedies",8.0,PG,2019
